feature,importance
community_score_change,0.43787912632306497
igs_score_change,0.11245084584187161
community_score_lag1,0.1080555836881453
minority_owned_businesses_pct,0.08046553737923927
minority_business_growth,0.042998724854044955
broadband_access_pct,0.0330477262134115
housing_burden_change,0.03047065727205711
median_income,0.027247915325118693
place_score_change,0.025681790344844427
igs_score_lag1,0.01989824457630474
income_growth,0.01905361144092407
economy_score_lag1,0.01510762166085243
early_education_enrollment_pct,0.012698370354038205
housing_cost_burden_pct,0.009322494102950564
place_score_lag1,0.008695336582475368
broadband_growth,0.006876678125199339
economy_score_change,0.0062026191155351695
early_ed_growth,0.0038471167999220655
