feature,importance
median_income,0.12282908390753372
place_score_change,0.12048885463190617
housing_cost_burden_pct,0.11729316071675244
igs_score_lag1,0.07237262003354131
economy_score_lag1,0.06849571113598651
broadband_access_pct,0.0650432477443225
early_ed_growth,0.062346727900721204
early_education_enrollment_pct,0.0524763450679605
housing_burden_change,0.04539851694892285
igs_score_change,0.04207999715496827
place_score_lag1,0.041995619876418186
community_score_lag1,0.04126823517078086
minority_owned_businesses_pct,0.03973899291469039
income_growth,0.03233347532871044
broadband_growth,0.024750723817872494
economy_score_change,0.021852102990437907
minority_business_growth,0.018347989158570645
community_score_change,0.010888595499903628
