feature,importance
economy_score_change,0.4802450111491234
income_growth,0.08334926455228
broadband_access_pct,0.0772831663881554
median_income,0.05216618273340449
igs_score_change,0.051348235945663546
economy_score_lag1,0.03925858357489098
housing_cost_burden_pct,0.03914964024829541
minority_owned_businesses_pct,0.03294347704368052
early_education_enrollment_pct,0.02835724492169561
place_score_change,0.027174729167241042
early_ed_growth,0.02693596034329446
place_score_lag1,0.015521963988596432
community_score_change,0.012951328287734086
community_score_lag1,0.009980410483461054
minority_business_growth,0.008231928744547841
broadband_growth,0.008135188514809252
igs_score_lag1,0.005064244198329959
housing_burden_change,0.0019034397147965694
